work,male,female,salaryMale,salaryFemale,timeMale,timeFemale
石油及天然氣礦業,1263,209,87877,83358,172.7,162.9
砂、石及黏土採取業,1949,479,35983,24194,182.5,180.9
食品製造業,54785,56956,44571,32186,183,181.1
飲料及菸草製造業,10572,5129,61455,44141,176.2,179.3
紡織業,56847,47257,43793,31555,193.7,189.2
成衣及服飾品製造業,11298,30613,40935,29161,172.4,172.2
皮革、毛皮及其製品製造業,11533,15768,43169,39039,186.1,181.1
木竹製品製造業,11299,7077,37488,31441,190.6,186.4
紙漿、紙及紙製品製造業,32940,17848,39927,30062,190.3,182.8
印刷及資料儲存媒體複製業,39298,23507,39088,33236,187.6,180.4
石油及煤製品製造業,10223,1319,88147,75014,180.5,168.6
化學材料製造業,49612,12033,69734,51884,181.8,173.2
化學製品製造業,27902,19938,61512,43612,177.6,170.9
藥品及醫用化學製品製造業,15816,12305,48975,41901,175.5,169.3
橡膠製品製造業,25066,11983,44742,33731,190.3,189.1
塑膠製品製造業,75514,58963,44884,31285,180,176.3
非金屬礦物製品製造業,48697,23007,41097,31556,187.6,182.4
基本金屬製造業,92138,18173,58048,39076,186.7,174.4
金屬製品製造業,222689,107210,38892,28996,185.3,177.8
電子零組件製造業,285319,309377,73097,47908,184,183.1
電腦、電子產品及光學製品製造業,116458,96290,68816,41727,173.8,179.2
電力設備製造業,77522,50802,45731,30435,182,175.2
機械設備製造業,143402,76662,43052,31826,183.4,175.8
汽車及其零件製造業,62146,20834,51172,40462,182.8,174.2
其他運輸工具及其零件製造業,51393,18306,50712,36748,186.4,179.3
家具製造業,15213,9995,34279,29366,185.8,174.7
其他製造業,35107,42577,48988,32360,177.3,177.7
產業用機械設備維修及安裝業,31141,8644,48011,30658,176.9,172.3
電力供應業,21562,3051,104512,90232,176.6,165.8
氣體燃料供應業,3984,1193,71391,50163,173.9,169
用水供應業,4434,1779,87496,87254,164.6,163.7
廢（污）水處理業,1387,493,37635,27290,171.1,177.2
廢棄物清除業,6894,1506,30651,24901,180,172
廢棄物處理業,3873,1867,38233,27483,182.1,169.8
污染整治業,4782,818,31155,29038,182.4,178.8
建築工程業,71048,11070,47790,41955,168.7,164.2
土木工程業,71509,11339,41447,40030,181.3,174.4
機電、管道及其他建築設備安裝業,114368,20144,44276,31114,173.3,167.4
其他專門營造業,129236,31968,47038,28837,170.1,169.5
批發業,474404,581913,54762,44708,171.9,169.1
零售業,215539,207647,36426,38193,173.6,174.1
綜合商品零售業,85511,75879,43621,41293,165,168
鐵路大眾捷運系統運輸業,19845,4583,64899,52636,175.5,165.4
公共汽車客運業,19988,2346,50159,33811,207.4,181.6
其他汽車客運業,9459,2499,27667,27671,175.9,171.2
汽車貨運業,60139,16162,34263,30509,185.1,179.5
海洋水運業,6006,1316,89965,66182,168.5,162.6
航空運輸業,10084,11648,117306,61909,171.2,169.8
港埠業,1953,690,95629,87277,166.2,157.8
其他運輸輔助業,29417,37335,50127,39515,177.2,169.7
倉儲業,10446,1905,50346,36948,182.9,178.7
郵政業,17994,8037,80383,76368,162.1,161.1
快遞服務業,7535,4430,54999,54659,190.3,174.9
住宿服務業,29496,39141,41353,32215,172,174.6
餐館業,113099,142207,31915,29275,166.8,163.7
其他餐飲業,24225,41572,40770,35190,173,166.7
出版業,19712,13972,58375,51822,165.3,163.8
影片服務、聲音錄製及音樂出版業,10355,7200,39635,38602,163,160
傳播及節目播送業,15318,7670,52498,47440,171.3,165.3
電信業,25784,15746,109346,84708,165.2,166.1
電腦系統設計服務業,26752,37069,71611,56718,165.8,163.7
資料處理及資訊供應服務業,4794,11289,76045,65122,164.5,166.1
銀行業,58973,86299,109439,90067,165.4,165.3
信用合作社業,1773,2127,85885,62034,164.7,163.2
農會、漁會信用部,3518,7205,64313,59128,164.9,165.4
其他金融中介業,14935,20283,108114,93149,160.5,158.7
人身保險業,34178,76132,72401,72848,157.3,160
財產保險業,7730,7626,70371,52987,162.9,161.9
其他保險及退休基金輔助業,209,264,113228,89471,165,164.5
證券期貨及其他金融業,22027,31855,83700,70497,162.6,161.8
不動產開發業,23696,20179,55007,48026,171.8,166.6
不動產經營及相關服務業,34548,38725,33530,39519,183.4,180.6
法律服務業,3319,6845,66033,59635,164.1,164.5
會計服務業,7922,14980,70316,52766,173,172.9
企業總管理機構及管理顧問業,41356,42171,59198,52280,175.3,167.4
建築、工程服務及技術檢測、分析服務業,34996,15538,67954,47456,170.7,166.8
廣告業及市場研究業,14957,27948,52909,56118,169.8,168.4
專門設計服務業,20851,3410,74382,58066,170.2,165
其他專業、科學及技術服務業,10711,8055,51631,41747,175,176
租賃業,10794,3677,42782,36850,176.5,169
人力仲介業,6580,15443,35060,38564,168,168.8
人力供應業,26137,84778,36262,37016,172.7,175.5
旅行及相關代訂服務業,13509,15713,48360,38849,164.7,165.1
保全及私家偵探服務業,79434,11578,31253,38906,227.1,188.4
建築物及綠化服務業,25645,32958,35883,24860,182,175.9
業務及辦公室支援服務業,9200,6106,46136,51294,169.7,167.5
其他教育及教育輔助服務業,22834,50439,27045,23060,124.1,136.8
醫療保健服務業,65067,269454,99187,55631,171.1,172.5
創作及藝術表演業,3838,4038,40521,35623,153,161.1
運動、娛樂及休閒服務業,24644,23020,44094,27094,182.7,179.3
個人及家庭用品維修業,23166,14357,42463,35549,183.3,180.4
美髮及美容美體業,1565,26015,34880,26758,193.9,200.9
其他個人服務業,11626,9652,34554,34802,187.3,188.8